idfa;id
idfa_70;0
idfa_71;1
idfa_72;2
idfa_73;3
idfa_74;4
idfa_75;5
idfa_76;6
idfa_77;7
idfa_78;8
idfa_79;9
idfa_80;10
idfa_81;11
idfa_82;12
idfa_83;13
idfa_84;14
idfa_85;15
idfa_86;16
idfa_87;17
idfa_88;18
idfa_89;19
idfa_90;20
idfa_91;21
idfa_92;22
idfa_93;23
idfa_94;24
idfa_95;25
idfa_96;26
idfa_97;27
idfa_98;28
idfa_99;29
idfa_100;30
idfa_101;31
idfa_102;32
idfa_103;33
idfa_104;34
idfa_105;35
idfa_106;36
idfa_8589934683;37
idfa_8589934684;38
idfa_8589934685;39
idfa_8589934686;40
idfa_8589934687;41
idfa_8589934688;42
idfa_8589934689;43
idfa_8589934690;44
idfa_8589934691;45
idfa_8589934692;46
idfa_8589934693;47
idfa_8589934694;48
idfa_8589934695;49
idfa_8589934696;50
idfa_8589934697;51
idfa_8589934698;52
idfa_8589934699;53
idfa_8589934700;54
idfa_8589934701;55
idfa_8589934702;56
idfa_8589934703;57
idfa_8589934704;58
idfa_8589934705;59
idfa_8589934706;60
idfa_8589934707;61
idfa_8589934708;62
idfa_8589934709;63
idfa_8589934710;64
idfa_8589934711;65
idfa_8589934712;66
idfa_8589934713;67
idfa_8589934714;68
idfa_8589934715;69
idfa_8589934716;70
idfa_8589934717;71
idfa_8589934718;72
idfa_17179869252;73
idfa_17179869253;74
idfa_17179869254;75
idfa_17179869255;76
idfa_17179869256;77
idfa_17179869257;78
idfa_17179869258;79
idfa_17179869259;80
idfa_17179869260;81
idfa_17179869261;82
idfa_17179869262;83
idfa_17179869263;84
idfa_17179869264;85
idfa_17179869265;86
idfa_17179869266;87
idfa_17179869267;88
idfa_17179869268;89
idfa_17179869269;90
idfa_17179869270;91
idfa_17179869271;92
idfa_17179869272;93
idfa_17179869273;94
idfa_17179869274;95
idfa_17179869275;96
idfa_17179869276;97
idfa_17179869277;98
idfa_17179869278;99
idfa_17179869279;100
idfa_17179869280;101
idfa_17179869281;102
idfa_17179869282;103
idfa_17179869283;104
idfa_17179869284;105
idfa_17179869285;106
idfa_17179869286;107
idfa_17179869287;108
idfa_17179869288;109
idfa_17179869289;110
idfa_17179869290;111
idfa_17179869291;112
idfa_17179869292;113
idfa_17179869293;114
idfa_25769803853;115
idfa_25769803854;116
idfa_25769803855;117
idfa_25769803856;118
idfa_25769803857;119
idfa_25769803858;120
idfa_25769803859;121
idfa_25769803860;122
idfa_25769803861;123
idfa_25769803862;124
idfa_25769803863;125
idfa_25769803864;126
idfa_25769803865;127
idfa_25769803866;128
idfa_25769803867;129
idfa_25769803868;130
idfa_25769803869;131
idfa_25769803870;132
idfa_25769803871;133
idfa_25769803872;134
idfa_25769803873;135
idfa_25769803874;136
idfa_25769803875;137
idfa_25769803876;138
idfa_25769803877;139
idfa_25769803878;140
idfa_25769803879;141
idfa_25769803880;142
idfa_25769803881;143
idfa_25769803882;144
idfa_25769803883;145
idfa_25769803884;146
idfa_25769803885;147
idfa_25769803886;148
idfa_25769803887;149
idfa_25769803888;150
idfa_25769803889;151
idfa_25769803890;152
idfa_25769803891;153
idfa_34359738451;154
idfa_34359738452;155
idfa_34359738453;156
idfa_34359738454;157
idfa_34359738455;158
idfa_34359738456;159
idfa_34359738457;160
idfa_34359738458;161
idfa_34359738459;162
idfa_34359738460;163
idfa_34359738461;164
idfa_34359738462;165
idfa_34359738463;166
idfa_34359738464;167
idfa_34359738465;168
idfa_34359738466;169
idfa_34359738467;170
idfa_34359738468;171
idfa_34359738469;172
idfa_34359738470;173
idfa_34359738471;174
idfa_34359738472;175
idfa_34359738473;176
idfa_34359738474;177
idfa_34359738475;178
idfa_34359738476;179
idfa_34359738477;180
idfa_34359738478;181
idfa_34359738479;182
idfa_34359738480;183
idfa_34359738481;184
idfa_34359738482;185
idfa_34359738483;186
idfa_34359738484;187
idfa_34359738485;188
idfa_42949673023;189
idfa_42949673024;190
idfa_42949673025;191
idfa_42949673026;192
idfa_42949673027;193
idfa_42949673028;194
idfa_42949673029;195
idfa_42949673030;196
idfa_42949673031;197
idfa_42949673032;198
idfa_42949673033;199
idfa_42949673034;200
idfa_42949673035;201
idfa_42949673036;202
idfa_42949673037;203
idfa_42949673038;204
idfa_42949673039;205
idfa_42949673040;206
idfa_42949673041;207
idfa_42949673042;208
idfa_42949673043;209
idfa_42949673044;210
idfa_42949673045;211
idfa_42949673046;212
idfa_42949673047;213
idfa_42949673048;214
idfa_42949673049;215
idfa_42949673050;216
idfa_42949673051;217
idfa_51539607632;218
idfa_51539607633;219
idfa_51539607634;220
idfa_51539607635;221
idfa_51539607636;222
idfa_51539607637;223
idfa_51539607638;224
